lat,lon,anomaly
-90.0,171.25,6.5644836
-90.0,172.5,6.5644836
-90.0,173.75,6.5644836
-90.0,175.0,6.5644836
-90.0,176.25,6.5644836
-90.0,177.5,6.5644836
-90.0,178.75,6.5644836
-89.05759162303664,-180.0,6.2227936
-89.05759162303664,-178.75,6.2217407
-89.05759162303664,-177.5,6.2209167
-89.05759162303664,-176.25,6.2201233
-89.05759162303664,-175.0,6.2192383
-89.05759162303664,-173.75,6.2184753
-89.05759162303664,-172.5,6.217743
-89.05759162303664,-171.25,6.2170563
-89.05759162303664,-170.0,6.2166443
-89.05759162303664,-168.75,6.216324
-89.05759162303664,-167.5,6.2160034
-89.05759162303664,-166.25,6.215912
-89.05759162303664,-165.0,6.215912
-89.05759162303664,-163.75,6.21611
-89.05759162303664,-162.5,6.216263
-89.05759162303664,-161.25,6.2165833
-89.05759162303664,-160.0,6.217102
-89.05759162303664,-158.75,6.2177277
-89.05759162303664,-157.5,6.21846
-89.05759162303664,-156.25,6.2192383
-89.05759162303664,-155.0,6.2201996
-89.05759162303664,-153.75,6.221222
-89.05759162303664,-152.5,6.2224426
-89.05759162303664,-151.25,6.22406
-89.05759162303664,-150.0,6.2266846
-89.05759162303664,-148.75,6.2293854
-89.05759162303664,-147.5,6.2323456
-89.05759162303664,-146.25,6.2354126
-89.05759162303664,-145.0,6.238739
-89.05759162303664,-143.75,6.242157
-89.05759162303664,-142.5,6.2456665
-89.05759162303664,-141.25,6.2493744
-89.05759162303664,-140.0,6.2530975
-89.05759162303664,-138.75,6.257248
-89.05759162303664,-137.5,6.2612457
-89.05759162303664,-136.25,6.265671
-89.05759162303664,-135.0,6.2700653
-89.05759162303664,-133.75,6.2715607
-89.05759162303664,-132.5,6.273102
-89.05759162303664,-131.25,6.2749176
-89.05759162303664,-130.0,6.276764
-89.05759162303664,-128.75,6.2786865
-89.05759162303664,-127.5,6.281021
-89.05759162303664,-126.25,6.283264
-89.05759162303664,-125.0,6.285797
-89.05759162303664,-123.75,6.288269
-89.05759162303664,-122.5,6.291046
-89.05759162303664,-121.25,6.293869
-89.05759162303664,-120.0,6.2968445
-89.05759162303664,-118.75,6.29982
-89.05759162303664,-117.5,6.303528
